"Time of Day","Process Name","PID","Operation","Path","Result","Detail","TID"
"6:49:41.5288222 PM","banload1.exe","5604","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value","4972"
"6:49:41.5288392 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value","4972"
"6:49:41.5289045 PM","banload1.exe","5604","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","4972"
"6:49:41.5289129 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","4972"
"6:49:41.5289221 PM","banload1.exe","5604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","4972"
"6:49:41.5289319 PM","banload1.exe","5604","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","4972"
"6:49:41.5292894 PM","banload1.exe","5604","CreateFile","C:\Windows","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5295798 PM","banload1.exe","5604","Load Image","C:\Windows\System32\wow64.dll","SUCCESS","Image Base: 0x7ff861410000, Image Size: 0x53000","4972"
"6:49:41.5297660 PM","banload1.exe","5604","Load Image","C:\Windows\System32\wow64win.dll","SUCCESS","Image Base: 0x7ff861680000, Image Size: 0x7c000","4972"
"6:49:41.5301666 PM","banload1.exe","5604","CreateFile","C:\Windows\System32\wow64log.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","4972"
"6:49:41.5306495 PM","banload1.exe","5604","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5306849 PM","banload1.exe","5604","QueryNameInformationFile","C:\Windows","SUCCESS","Name: \Windows","4972"
"6:49:41.5306985 PM","banload1.exe","5604","CloseFile","C:\Windows","SUCCESS","","4972"
"6:49:41.5307306 PM","banload1.exe","5604","RegOpenKey","HKLM\Software\Microsoft\Wow64\x86","SUCCESS","Desired Access: Read","4972"
"6:49:41.5307655 PM","banload1.exe","5604","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wow64\x86\banload1.exe","NAME NOT FOUND","Length: 520","4972"
"6:49:41.5307756 PM","banload1.exe","5604","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wow64\x86\(Default)","SUCCESS","Type: REG_SZ, Length: 26, Data: wow64cpu.dll","4972"
"6:49:41.5307882 PM","banload1.exe","5604","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wow64\x86","SUCCESS","","4972"
"6:49:41.5309574 PM","banload1.exe","5604","Load Image","C:\Windows\System32\wow64cpu.dll","SUCCESS","Image Base: 0x779d0000, Image Size: 0x9000","4972"
"6:49:41.5313276 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value","4972"
"6:49:41.5313403 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value","4972"
"6:49:41.5313544 PM","banload1.exe","5604","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5313661 PM","banload1.exe","5604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80","4972"
"6:49:41.5313786 PM","banload1.exe","5604","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","4972"
"6:49:41.5313949 PM","banload1.exe","5604","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value","4972"
"6:49:41.5314047 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value","4972"
"6:49:41.5314751 PM","banload1.exe","5604","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","4972"
"6:49:41.5314842 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","4972"
"6:49:41.5314939 PM","banload1.exe","5604","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5315015 PM","banload1.exe","5604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","4972"
"6:49:41.5315115 PM","banload1.exe","5604","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","4972"
"6:49:41.5320771 PM","banload1.exe","5604","CreateFile","C:\Users\IEUser\Downloads","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5322348 PM","banload1.exe","5604","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x75ca0000, Image Size: 0xe0000","4972"
"6:49:41.5324501 PM","banload1.exe","5604","Load Image","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Image Base: 0x76080000, Image Size: 0x1fa000","4972"
"6:49:41.5331531 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","REPARSE","Desired Access: Read","4972"
"6:49:41.5331672 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","Desired Access: Read","4972"
"6:49:41.5331908 PM","banload1.exe","5604","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5332003 PM","banload1.exe","5604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSAppCompat","NAME NOT FOUND","Length: 548","4972"
"6:49:41.5332116 PM","banload1.exe","5604","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSUserEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","4972"
"6:49:41.5332249 PM","banload1.exe","5604","RegCloseKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","","4972"
"6:49:41.5333708 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value","4972"
"6:49:41.5333802 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value","4972"
"6:49:41.5333955 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read","4972"
"6:49:41.5334041 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read","4972"
"6:49:41.5334201 PM","banload1.exe","5604","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Safer\CodeIdentifiers","REPARSE","Desired Access: Query Value","4972"
"6:49:41.5334535 PM","banload1.exe","5604","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value","4972"
"6:49:41.5334700 PM","banload1.exe","5604","RegSetInfoKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5334781 PM","banload1.exe","5604","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80","4972"
"6:49:41.5334922 PM","banload1.exe","5604","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","","4972"
"6:49:41.5335110 PM","banload1.exe","5604","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value","4972"
"6:49:41.5335379 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read","4972"
"6:49:41.5335486 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read","4972"
"6:49:41.5335695 PM","banload1.exe","5604","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5335794 PM","banload1.exe","5604","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1","4972"
"6:49:41.5335907 PM","banload1.exe","5604","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","","4972"
"6:49:41.5336020 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read","4972"
"6:49:41.5336126 PM","banload1.exe","5604","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read","4972"
"6:49:41.5336210 PM","banload1.exe","5604","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5336322 PM","banload1.exe","5604","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LPGO","NAME NOT FOUND","Length: 20","4972"
"6:49:41.5336419 PM","banload1.exe","5604","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","","4972"
"6:49:41.5338181 PM","banload1.exe","5604","CreateFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5339160 PM","banload1.exe","5604","QueryBasicInformationFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","CreationTime: 3/19/2019 4:21:34 AM, LastAccessTime: 9/23/2021 6:49:06 PM, LastWriteTime: 3/19/2019 4:21:34 AM, ChangeTime: 8/28/2021 3:23:20 AM, FileAttributes: A","4972"
"6:49:41.5339254 PM","banload1.exe","5604","CloseFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","","4972"
"6:49:41.5340080 PM","banload1.exe","5604","CreateFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5340385 PM","banload1.exe","5604","CreateFileMapping","C:\Windows\SysWOW64\apphelp.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE","4972"
"6:49:41.5340562 PM","banload1.exe","5604","CreateFileMapping","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","SyncType: SyncTypeOther","4972"
"6:49:41.5342104 PM","banload1.exe","5604","Load Image","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","Image Base: 0x744c0000, Image Size: 0x9c000","4972"
"6:49:41.5343634 PM","banload1.exe","5604","CloseFile","C:\Windows\SysWOW64\apphelp.dll","SUCCESS","","4972"
"6:49:41.5344850 PM","banload1.exe","5604","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","Desired Access: Query Value","4972"
"6:49:41.5345161 PM","banload1.exe","5604","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5345255 PM","banload1.exe","5604","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\LogFlags","NAME NOT FOUND","Length: 20","4972"
"6:49:41.5345364 PM","banload1.exe","5604","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","","4972"
"6:49:41.5346444 PM","banload1.exe","5604","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","Desired Access: Query Value","4972"
"6:49:41.5346576 PM","banload1.exe","5604","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5346653 PM","banload1.exe","5604","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\ShowDebugInfo","NAME NOT FOUND","Length: 20","4972"
"6:49:41.5346753 PM","banload1.exe","5604","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","","4972"
"6:49:41.5348549 PM","banload1.exe","5604","CreateFile","C:\Users\IEUser\Downloads\banload1.exe","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5348838 PM","banload1.exe","5604","QuerySecurityFile","C:\Users\IEUser\Downloads\banload1.exe","BUFFER OVERFLOW","Information: Owner","4972"
"6:49:41.5348931 PM","banload1.exe","5604","QuerySecurityFile","C:\Users\IEUser\Downloads\banload1.exe","SUCCESS","Information: Owner","4972"
"6:49:41.5349011 PM","banload1.exe","5604","CloseFile","C:\Users\IEUser\Downloads\banload1.exe","SUCCESS","","4972"
"6:49:41.5349912 PM","banload1.exe","5604","CreateFile","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5350492 PM","banload1.exe","5604","QuerySecurityFile","C:\Windows\SysWOW64\ntdll.dll","BUFFER OVERFLOW","Information: Owner","4972"
"6:49:41.5350640 PM","banload1.exe","5604","QuerySecurityFile","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","Information: Owner","4972"
"6:49:41.5350719 PM","banload1.exe","5604","CloseFile","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","","4972"
"6:49:41.5351589 PM","banload1.exe","5604","CreateFile","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5352325 PM","banload1.exe","5604","QuerySecurityFile","C:\Windows\SysWOW64\kernel32.dll","BUFFER OVERFLOW","Information: Owner","4972"
"6:49:41.5352413 PM","banload1.exe","5604","QuerySecurityFile","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Information: Owner","4972"
"6:49:41.5352488 PM","banload1.exe","5604","CloseFile","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","","4972"
"6:49:41.5353310 PM","banload1.exe","5604","CreateFile","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5353815 PM","banload1.exe","5604","QuerySecurityFile","C:\Windows\SysWOW64\KernelBase.dll","BUFFER OVERFLOW","Information: Owner","4972"
"6:49:41.5353901 PM","banload1.exe","5604","QuerySecurityFile","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Information: Owner","4972"
"6:49:41.5353979 PM","banload1.exe","5604","CloseFile","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","","4972"
"6:49:41.5355110 PM","banload1.exe","5604","CreateFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5355835 PM","banload1.exe","5604","QueryStandardInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","AllocationSize: 4,030,464, EndOfFile: 4,027,154, NumberOfLinks: 2, DeletePending: False, Directory: False","4972"
"6:49:41.5356046 PM","banload1.exe","5604","QueryStandardInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","AllocationSize: 4,030,464, EndOfFile: 4,027,154, NumberOfLinks: 2, DeletePending: False, Directory: False","4972"
"6:49:41.5356159 PM","banload1.exe","5604","CreateFileMapping","C:\Windows\apppatch\sysmain.sdb","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE","4972"
"6:49:41.5356262 PM","banload1.exe","5604","QueryStandardInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","AllocationSize: 4,030,464, EndOfFile: 4,027,154, NumberOfLinks: 2, DeletePending: False, Directory: False","4972"
"6:49:41.5356404 PM","banload1.exe","5604","CreateFileMapping","C:\Windows\apppatch\sysmain.sdb","SUCCESS","SyncType: SyncTypeOther","4972"
"6:49:41.5359205 PM","banload1.exe","5604","CreateFile","C:\Users\IEUser\Downloads\banload1.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5359650 PM","banload1.exe","5604","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value","4972"
"6:49:41.5359817 PM","banload1.exe","5604","RegSetInfoKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5359936 PM","banload1.exe","5604","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 116, Data: C:\Users\IEUser\AppData\Local\Microsoft\Windows\INetCache","4972"
"6:49:41.5360134 PM","banload1.exe","5604","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","","4972"
"6:49:41.5360330 PM","banload1.exe","5604","QuerySecurityFile","C:\Users\IEUser\Downloads\banload1.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100","4972"
"6:49:41.5361110 PM","banload1.exe","5604","CreateFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5361388 PM","banload1.exe","5604","QueryBasicInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","CreationTime: 3/19/2019 4:21:26 AM, LastAccessTime: 9/23/2021 6:49:41 PM, LastWriteTime: 3/19/2019 4:21:26 AM, ChangeTime: 3/19/2019 4:25:53 AM, FileAttributes: A","4972"
"6:49:41.5361486 PM","banload1.exe","5604","CloseFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","","4972"
"6:49:41.5361758 PM","banload1.exe","5604","QueryBasicInformationFile","C:\Users\IEUser\Downloads\banload1.exe","SUCCESS","CreationTime: 9/23/2021 6:45:41 PM, LastAccessTime: 9/23/2021 6:49:41 PM, LastWriteTime: 9/23/2021 6:45:42 PM, ChangeTime: 9/23/2021 6:49:36 PM, FileAttributes: A","4972"
"6:49:41.5362050 PM","banload1.exe","5604","CloseFile","C:\Users\IEUser\Downloads\banload1.exe","SUCCESS","","4972"
"6:49:41.5362900 PM","banload1.exe","5604","CreateFile","C:\Users\IEUser\Downloads\banload1.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened","4972"
"6:49:41.5363306 PM","banload1.exe","5604","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value","4972"
"6:49:41.5363456 PM","banload1.exe","5604","RegSetInfoKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","4972"
"6:49:41.5363548 PM","banload1.exe","5604","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 116, Data: C:\Users\IEUser\AppData\Local\Microsoft\Windows\INetCache","4972"
"6:49:41.5363716 PM","banload1.exe","5604","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","","4972"
